Nombre,Referencia,Nro,Importe amount_untaxed,Importe amount_total_signed,Importe amount_untaxed_signeds,Importe amount_total_signed,Importe amount_total_in_currency_signed,Proveedor,Fecha,Divisa,Estado,Tipo
FA-0032721,007QKJYsn64lOUgRnYDX,FA-0032721,5990.0,-5990.0,-5990.0,-5990.0,-5990.0,960,2024-01-24,ARS,Pagada,Factura de proveedor
FA-0292160,00SoJNwCjCNnFgUvQ11b,FA-0292160,33000.0,-33000.0,-33000.0,-33000.0,-33000.0,1189,2024-02-24,ARS,Pagada,Factura de proveedor
FA-dolar 0091635,01GRPqW0lVYhoWStPx0e,FA-dolar 0091635,162.93,-162.93,-162.93,-162.93,-162.93,841,2024-07-03,ARS,Pagada,Factura de proveedor
FA-00239,056FWJ4MxfF1PYUEMiTM,FA-00239,85300.0,-85300.0,-85300.0,-85300.0,-85300.0,667,2024-10-24,ARS,Pagada,Factura de proveedor
FA-0051952,05oG6K6DoZRH6uTNdAkL,FA-0051952,100000.0,-100000.0,-100000.0,-100000.0,-100000.0,983,2024-05-19,ARS,Pagada,Factura de proveedor
FA-01916989,065kwsf6Bnq7omtul6aO,FA-01916989,11900.3,-11900.3,-11900.3,-11900.3,-11900.3,717,2022-12-21,ARS,Pagada,Factura de proveedor
FA-sinNro06JKXmcGXKfnu4LKkif1,06JKXmcGXKfnu4LKkif1,FA-sinNro06JKXmcGXKfnu4LKkif1,1500.0,-1500.0,-1500.0,-1500.0,-1500.0,1158,2022-03-10,ARS,Pagada,Factura de proveedor
FA-0107721,06s3s2sKVlUcWAjqdvSk,FA-0107721,99220.0,-99220.0,-99220.0,-99220.0,-99220.0,964,2024-07-12,ARS,Pagada,Factura de proveedor
FA-0253128,0AEP3KY8L2oOZsSv6yON,FA-0253128,35383.86,-35383.86,-35383.86,-35383.86,-35383.86,1194,2024-06-09,ARS,Pagada,Factura de proveedor
FA-0033148,0AFpSqixPaloyZad5J0Q,FA-0033148,55660.0,-55660.0,-55660.0,-55660.0,-55660.0,1115,2022-10-13,ARS,Pagada,Factura de proveedor
FA-00217667,0CN3qDc3Mxz7ANXFU9K1,FA-00217667,23250.3,-23250.3,-23250.3,-23250.3,-23250.3,648,2023-11-21,ARS,Pagada,Factura de proveedor
FA-0021556,0Cg0XGNu36xflIjCZDcm,FA-0021556,56270.0,-56270.0,-56270.0,-56270.0,-56270.0,818,2023-11-24,ARS,Pagada,Factura de proveedor
FA-011124,0GH99b8hc1xK1leLexie,FA-011124,1620.01,-1620.01,-1620.01,-1620.01,-1620.01,642,2022-06-07,ARS,Pagada,Factura de proveedor
FA-008151,0GZSicILQv3U1foWXSNR,FA-008151,21760.01,-21760.01,-21760.01,-21760.01,-21760.01,1140,2022-10-18,ARS,Pagada,Factura de proveedor
FA-0028010,0GbuPasBoPrGewiR6mIA,FA-0028010,30900.0,-30900.0,-30900.0,-30900.0,-30900.0,657,2023-10-23,ARS,Pagada,Factura de proveedor
FA-0048000000468,0LDD0M8z9o6iKj1aL1IO,FA-0048000000468,812215.0,-812215.0,-812215.0,-812215.0,-812215.0,978,2023-05-08,ARS,Pagada,Factura de proveedor
FA-03077083,0LKK2hljSqhKHrM1Eep0,FA-03077083,29460.0,-29460.0,-29460.0,-29460.0,-29460.0,982,2023-04-17,ARS,Pagada,Factura de proveedor
FA-sinNro0LceY6IGLFZU2SmtgLhs,0LceY6IGLFZU2SmtgLhs,FA-sinNro0LceY6IGLFZU2SmtgLhs,40933.89,-40933.89,-40933.89,-40933.89,-40933.89,1036,2022-12-05,ARS,Pagada,Factura de proveedor
FA-01223810,0MAtxOXE7LkozW5EsfF0,FA-01223810,995880.0,-995880.0,-995880.0,-995880.0,-995880.0,717,2024-04-17,ARS,Pagada,Factura de proveedor
FA-sinNro0N4D4BwAHqU0HDEXoXCz,0N4D4BwAHqU0HDEXoXCz,FA-sinNro0N4D4BwAHqU0HDEXoXCz,29516.41,-29516.41,-29516.41,-29516.41,-29516.41,1029,2024-02-07,ARS,Pagada,Factura de proveedor
FA-1375637,0PHgT9K4lB3X9kbkusWQ,FA-1375637,15838.0,-15838.0,-15838.0,-15838.0,-15838.0,944,2023-10-16,ARS,Pagada,Factura de proveedor
FA-0021272,0PSMKIc9y01pPAyaQHo7,FA-0021272,437144.45,-437144.45,-437144.45,-437144.45,-437144.45,687,2024-06-05,ARS,Pagada,Factura de proveedor
FA-sinNro0QENaZmm5GnLmceDCtVt,0QENaZmm5GnLmceDCtVt,FA-sinNro0QENaZmm5GnLmceDCtVt,102204.36,-102204.36,-102204.36,-102204.36,-102204.36,936,2024-06-22,ARS,Pagada,Factura de proveedor
FA-00155147,0QFKC4LIdLjDGIVCtQji,FA-00155147,605000.0,-605000.0,-605000.0,-605000.0,-605000.0,866,2023-08-03,ARS,Pagada,Factura de proveedor
FA-0095023,0SEYIsfOvkDwfhvMhNx4,FA-0095023,11822.16,-11822.16,-11822.16,-11822.16,-11822.16,968,2022-10-31,ARS,Pagada,Factura de proveedor
FA-011519,0TRTW64fvGH12x8xcVFC,FA-011519,8203.99,-8203.99,-8203.99,-8203.99,-8203.99,642,2023-01-21,ARS,Pagada,Factura de proveedor
FA-0061592,0VSJSZYTKhWEUkmFVo3w,FA-0061592,34000.0,-34000.0,-34000.0,-34000.0,-34000.0,1148,2023-08-19,ARS,Pagada,Factura de proveedor
FA-001800008340,0XCIsuFlXtAuyG64dDwC,FA-001800008340,12300.82,-12300.82,-12300.82,-12300.82,-12300.82,717,2023-05-08,ARS,Pagada,Factura de proveedor
FA-sinNro0XePPNv6p1u9soaXvnCv,0XePPNv6p1u9soaXvnCv,FA-sinNro0XePPNv6p1u9soaXvnCv,4436.0,-4436.0,-4436.0,-4436.0,-4436.0,1040,2022-09-20,ARS,Pagada,Factura de proveedor
FA-0431108,0XftajPulrkYGBGKJUR3,FA-0431108,151600.0,-151600.0,-151600.0,-151600.0,-151600.0,1194,2024-10-22,ARS,Pagada,Factura de proveedor
FA-sinNro0a0TlSYgJLa3SpANvkKK,0a0TlSYgJLa3SpANvkKK,FA-sinNro0a0TlSYgJLa3SpANvkKK,15681.82,-15681.82,-15681.82,-15681.82,-15681.82,936,2024-06-05,ARS,Pagada,Factura de proveedor
FA-01721869,0bZQRTvI9sRgmi0iQOIH,FA-01721869,7300.0,-7300.0,-7300.0,-7300.0,-7300.0,861,2024-05-08,ARS,Pagada,Factura de proveedor
FA-0209880,0cgJEHfDHSS2buhjXL8V,FA-0209880,5120.0,-5120.0,-5120.0,-5120.0,-5120.0,717,2023-08-29,ARS,Pagada,Factura de proveedor
FA-01342837,0cgPRFD3Dk0r8XFMSaFy,FA-01342837,9999.97,-9999.97,-9999.97,-9999.97,-9999.97,943,2024-01-19,ARS,Pagada,Factura de proveedor
FA-00965,0cu9GJG21OA8jW57uxUu,FA-00965,205000.62,-205000.62,-205000.62,-205000.62,-205000.62,768,2024-08-19,ARS,Pagada,Factura de proveedor
FA-0028644,0e548nvwA6DG6g9cEyFo,FA-0028644,20700.0,-20700.0,-20700.0,-20700.0,-20700.0,657,2024-01-05,ARS,Pagada,Factura de proveedor
FA-0028524,0ejXdFTjMGW56N0S6JJR,FA-0028524,40089.9,-40089.9,-40089.9,-40089.9,-40089.9,648,2022-08-04,ARS,Pagada,Factura de proveedor
FA-03547,0eoBa7pV3XtG4lAhvWBE,FA-03547,11800.0,-11800.0,-11800.0,-11800.0,-11800.0,708,2024-04-18,ARS,Pagada,Factura de proveedor
FA-0062013,0g9QAepv5wM84U9STaMY,FA-0062013,45600.0,-45600.0,-45600.0,-45600.0,-45600.0,1148,2023-12-03,ARS,Pagada,Factura de proveedor
FA-01713144,0gDN21bUzJLZtbL2IVNq,FA-01713144,8454.6,-8454.6,-8454.6,-8454.6,-8454.6,861,2023-06-06,ARS,Pagada,Factura de proveedor
FA-02711760,0hABRFc6V4do8COTP3Ne,FA-02711760,74280.0,-74280.0,-74280.0,-74280.0,-74280.0,1079,2023-09-22,ARS,Pagada,Factura de proveedor
FA-0028790,0iE5LQO3gNpbWztslkEt,FA-0028790,40100.0,-40100.0,-40100.0,-40100.0,-40100.0,657,2024-01-20,ARS,Pagada,Factura de proveedor
FA-01111828,0jUgqq1FMrp6CYyd8QMZ,FA-01111828,263339.98,-263339.98,-263339.98,-263339.98,-263339.98,712,2024-09-13,ARS,Pagada,Factura de proveedor
FA-0028910,0kAyf2PyLtqo3jGMtPWO,FA-0028910,11000.0,-11000.0,-11000.0,-11000.0,-11000.0,657,2024-02-05,ARS,Pagada,Factura de proveedor
FA-0062566,0kBUvtfJWJwuSF9G5de1,FA-0062566,53669.16,-53669.16,-53669.16,-53669.16,-53669.16,1180,2024-07-02,ARS,Pagada,Factura de proveedor
FA-016565,0kDv91DlsHrVoztSGmvx,FA-016565,17499.99,-17499.99,-17499.99,-17499.99,-17499.99,949,2024-01-12,ARS,Pagada,Factura de proveedor
FA-0122561,0lcxmuWh6lNBHiZv7enu,FA-0122561,63290.0,-63290.0,-63290.0,-63290.0,-63290.0,717,2022-04-08,ARS,Pagada,Factura de proveedor
FA-005580,0mxwMTRoflFDu05zYcT7,FA-005580,5050.0,-5050.0,-5050.0,-5050.0,-5050.0,919,2023-11-06,ARS,Pagada,Factura de proveedor
FA-2792307,0nNDJvDgvbp86RIYe9R8,FA-2792307,38400.0,-38400.0,-38400.0,-38400.0,-38400.0,1062,2024-10-18,ARS,Pagada,Factura de proveedor
FA-00218205,0oGy2qSLEtAo1INnqk9R,FA-00218205,127825.55,-127825.55,-127825.55,-127825.55,-127825.55,648,2023-12-18,ARS,Pagada,Factura de proveedor
FA-0071746,0pFeuiLnSFkPsMWU32Yf,FA-0071746,256488.0,-256488.0,-256488.0,-256488.0,-256488.0,664,2023-09-28,ARS,Pagada,Factura de proveedor
FA-1445163,0qkVGaZrAicHnJX8laPC,FA-1445163,7400.4,-7400.4,-7400.4,-7400.4,-7400.4,717,2022-03-22,ARS,Pagada,Factura de proveedor
FA-00819,0tz3u8VxwxN0x3JOSM82,FA-00819,137505.99,-137505.99,-137505.99,-137505.99,-137505.99,691,2023-12-28,ARS,Pagada,Factura de proveedor
FA-sinNro0uBEYlAUbbZTnt6TiNsU,0uBEYlAUbbZTnt6TiNsU,FA-sinNro0uBEYlAUbbZTnt6TiNsU,321.99,-321.99,-321.99,-321.99,-321.99,656,2022-04-07,ARS,Pagada,Factura de proveedor
FA-0026143,0v5zslYkkYmusO5EA5Sx,FA-0026143,2091.6,-2091.6,-2091.6,-2091.6,-2091.6,648,2022-03-17,ARS,Pagada,Factura de proveedor
FA-016619,0vLVy9buCUiAriVDSxpv,FA-016619,8800.0,-8800.0,-8800.0,-8800.0,-8800.0,1019,2024-06-15,ARS,Pagada,Factura de proveedor
FA-03214445,0vpSaNDG1encbnHK9xsB,FA-03214445,37712.79,-37712.79,-37712.79,-37712.79,-37712.79,1159,2023-05-24,ARS,Pagada,Factura de proveedor
FA-sinNro0x0YWWWWhfCuh0U96c74,0x0YWWWWhfCuh0U96c74,FA-sinNro0x0YWWWWhfCuh0U96c74,6641.25,-6641.25,-6641.25,-6641.25,-6641.25,936,2022-03-04,ARS,Pagada,Factura de proveedor
FA-00215072,0y2B1u3n3aklNbo7AbtZ,FA-00215072,2673.25,-2673.25,-2673.25,-2673.25,-2673.25,648,2023-07-11,ARS,Pagada,Factura de proveedor
FA-003371,10HsrJ4VUurFX0m7LuRG,FA-003371,10485.15,-10485.15,-10485.15,-10485.15,-10485.15,649,2023-08-25,ARS,Pagada,Factura de proveedor
FA-001383,127X1KJqg1vr4NcZMckz,FA-001383,1180960.0,-1180960.0,-1180960.0,-1180960.0,-1180960.0,1069,2024-04-26,ARS,Pagada,Factura de proveedor
FA-00200675,15HV5nV9DyIliGYbo2ul,FA-00200675,36300.0,-36300.0,-36300.0,-36300.0,-36300.0,967,2022-05-03,ARS,Pagada,Factura de proveedor
FA-01710704,15cmqLCoyJs1gwFtM4wh,FA-01710704,301151.17,-301151.17,-301151.17,-301151.17,-301151.17,861,2022-10-20,ARS,Pagada,Factura de proveedor
FA-0179646,16F7aCwVxJt5K0M9kTAw,FA-0179646,226730.56,-226730.56,-226730.56,-226730.56,-226730.56,861,2022-09-21,ARS,Pagada,Factura de proveedor
FA-01184263,16lPoCidazp40L0PATb7,FA-01184263,22710.0,-22710.0,-22710.0,-22710.0,-22710.0,1164,2024-08-14,ARS,Pagada,Factura de proveedor
